日期,Anticipation,Disgust,Neutral,Others,Sadness,Trust,First case,Begin lockdowns,Measures launched,Zero case growth,Work resumed,Victory declared
2022/5/1,0.11092,0.38498,0.11796,0.12383,0.17958,0.08275,0,0,0,1,0,0
2022/5/2,0.06342,0.44099,0.09982,0.13917,0.1791,0.07751,0,0,0,1,0,0
2022/5/3,0.08417,0.40892,0.11997,0.13065,0.18593,0.07035,0,0,0,1,0,0
2022/5/4,0.10484,0.57776,0.05472,0.10253,0.13249,0.02765,0,0,0,0,0,0
2022/5/5,0.15349,0.38879,0.12347,0.10631,0.16728,0.06066,0,0,0,0,0,0
2022/5/6,0.12245,0.34014,0.15442,0.10272,0.16667,0.11361,0,0,0,0,0,0
2022/5/7,0.09798,0.36091,0.1034,0.11965,0.22797,0.0901,0,0,0,0,0,0
2022/5/8,0.0934,0.39093,0.12342,0.11007,0.18746,0.09473,0,0,0,0,0,0
2022/5/9,0.07761,0.41242,0.09922,0.12528,0.22727,0.0582,0,0,0,0,0,0
2022/5/10,0.09793,0.39518,0.11952,0.14049,0.18836,0.05851,0,0,0,0,0,0
2022/5/13,0.1,0.41,0.1,0.14,0.18,0.07,0,0,0,0,0,0
2022/5/14,0.09161,0.39531,0.11282,0.13403,0.20939,0.05686,0,0,0,0,0,0
2022/5/15,0.12823,0.40517,0.11458,0.10848,0.19361,0.04993,0,0,0,0,0,0
2022/5/16,0.15789,0.35472,0.1633,0.10707,0.14996,0.06705,0,0,0,0,0,0
2022/5/17,0.14472,0.33933,0.15191,0.10157,0.17079,0.09169,0,0,0,0,0,0
2022/5/18,0.11429,0.33651,0.13651,0.11005,0.2381,0.06455,0,0,0,0,0,0
2022/5/19,0.11629,0.3234,0.15089,0.11773,0.22249,0.0692,0,0,0,0,0,0
2022/5/20,0.11601,0.34853,0.15198,0.11499,0.21226,0.05623,0,0,0,0,0,0
2022/5/21,0.08108,0.34916,0.12272,0.12637,0.24178,0.07889,0,0,0,0,0,0
2022/5/22,0.1061,0.34816,0.12452,0.12135,0.23189,0.06798,0,0,0,0,0,0
2022/5/23,0.10015,0.36315,0.14293,0.1089,0.20807,0.07681,0,0,0,0,0,0
2022/5/24,0.09797,0.33208,0.13895,0.12388,0.21149,0.09562,0,0,0,0,0,0
2022/5/25,0.11773,0.26646,0.17172,0.11041,0.18774,0.14594,0,0,0,0,0,0
2022/5/30,0.19339,0.24649,0.16834,0.08317,0.14429,0.16433,0,0,0,0,0,0
2022/5/31,0.17568,0.18744,0.17042,0.06707,0.11011,0.28929,0,0,0,0,0,0
2022/6/1,0.1596,0.30549,0.15212,0.08479,0.14401,0.15399,0,0,0,0,1,0
2022/6/2,0.10769,0.31731,0.17564,0.0891,0.15256,0.15769,0,0,0,0,1,0
2022/6/3,0.10476,0.33333,0.19048,0.10238,0.12262,0.14643,0,0,0,0,1,0
2022/6/4,0.0782,0.38534,0.1094,0.08759,0.14699,0.19248,0,0,0,0,1,0
2022/6/5,0.11092,0.22141,0.15118,0.07666,0.16574,0.27409,0,0,0,0,1,0
2022/6/9,0.07165,0.37431,0.1112,0.14526,0.24706,0.05051,0,0,0,0,0,0
2022/6/10,0.0864,0.40663,0.13964,0.12408,0.17813,0.06511,0,0,0,0,0,0
2022/6/11,0.0381,0.4,0.08571,0.1619,0.21905,0.09524,0,0,0,0,0,0
2022/6/12,0.06751,0.39396,0.15488,0.12391,0.19539,0.06434,0,0,0,0,0,0
2022/6/13,0.10015,0.35123,0.16618,0.127,0.19013,0.06531,0,0,0,0,0,0
2022/6/14,0.09147,0.37833,0.15808,0.12433,0.16696,0.08082,0,0,0,0,0,0
2022/6/15,0.09769,0.31528,0.20782,0.10302,0.19716,0.07904,0,0,0,0,0,0
2022/6/16,0.09361,0.30479,0.21575,0.11986,0.17694,0.08904,0,0,0,0,0,0
2022/6/17,0.08019,0.30896,0.20283,0.09906,0.19811,0.11085,0,0,0,0,0,0
2022/6/18,0.07692,0.35484,0.14764,0.12655,0.23077,0.06328,0,0,0,0,0,0
2022/6/19,0.06716,0.4057,0.12328,0.11776,0.20331,0.0828,0,0,0,0,0,0
2022/6/20,0.1269,0.25916,0.23235,0.09562,0.19124,0.09473,0,0,0,0,0,0
2022/6/21,0.08333,0.29167,0.16667,0.16667,0.25,0.04167,0,0,0,0,0,0
2022/6/22,0.08912,0.2715,0.19689,0.11503,0.19689,0.13057,0,0,0,0,0,0
2022/6/23,0.09378,0.38506,0.14855,0.10871,0.16432,0.09959,0,0,0,0,0,0
2022/6/24,0.09235,0.26367,0.20049,0.09842,0.21871,0.12637,0,0,0,0,0,0
2022/6/25,0.08975,0.48603,0.08552,0.09229,0.17358,0.07282,0,0,0,0,0,0
2022/6/26,0.10349,0.36534,0.16833,0.07731,0.16833,0.11721,0,0,0,0,0,1
2022/6/27,0.23784,0.28336,0.2202,0.05775,0.12063,0.08023,0,0,0,0,0,1
2022/6/28,0.13199,0.37643,0.17374,0.09899,0.13064,0.08822,0,0,0,0,0,1
2022/6/29,0.11981,0.29694,0.25114,0.09766,0.16924,0.06521,0,0,0,0,0,1
2022/6/30,0.14637,0.30672,0.26015,0.06986,0.13373,0.08317,0,0,0,0,0,1
2022/7/1,0.16257,0.29649,0.23679,0.08754,0.14966,0.06696,0,0,0,0,0,0
2022/7/2,0.06664,0.30781,0.14954,0.08171,0.0952,0.29909,0,0,0,0,0,0
